id,vehicle,model,image,system_version,storage,rack_id,slot_no,slot_label,stock,low_stock_threshold,note,created_at,updated_at
p-1,GMC 索罗德仪表 14-18,JT5-1370,,Linux,无,rack-2-a1,2,A1-2,8,2,一台在直播间,2026-06-03 09:00,2026-06-03 09:00
p-2,凯迪拉克凯雷德 07-14,JT5-1508,,Linux,无,rack-2-a1,4,A1-4,13,2,一台在直播间,2026-06-03 09:00,2026-06-03 09:00
p-3,福特 F150 仪表 15-21,JT5-1397,,Linux,无,rack-2-a2,6,A2-6,10,2,直播样机,2026-06-03 09:00,2026-06-03 09:00
p-4,BMW E65/E66,JT5-1303,,Linux,无,rack-2-b1,3,B1-3,3,2,,2026-06-03 09:00,2026-06-03 09:00
p-5,4Runner 2010-2022,WE-8103,,安卓12,6+128,rack-1-b1,8,B1-8,5,2,亮黑,2026-06-03 09:00,2026-06-03 09:00
p-6,Tacoma 2016-2022,WE-8106A,,安卓12,4+64,rack-1-b1,7,B1-7,1,2,枪色+电镀银,2026-06-03 09:00,2026-06-03 09:00
p-7,Grand Cherokee 2014-2022,WE-8504,,安卓14,8+128,rack-1-b2,8,B2-8,30,2,,2026-06-03 09:00,2026-06-03 09:00
p-8,14-20 GX,16GXSI,,Linux,,rack-1-b1,1,B1-1,100,2,,2026-06-03 09:00,2026-06-03 09:00
p-9,玛莎拉蒂 GT 2007-2020,10.4 1024*768,,安卓13,6+128,rack-3-c1,2,C1-2,2,2,黑色,2026-06-03 09:00,2026-06-03 09:00
p-10,保时捷卡宴 PCM3.0/3.1,12.3 1920*720,,安卓12,8+128,rack-3-c2,6,C2-6,6,2,,2026-06-03 09:00,2026-06-03 09:00
p-11,GX460 10-16,10.25 1920*720,,安卓12,4+64,rack-3-c1,2,C1-2,1,2,,2026-06-03 09:00,2026-06-03 09:00
