id,room_id,code,name,x,y,w,h,slot_count,note,created_at,updated_at
rack-1-b1,room-1,B1,B1 大货架,8,16,25,27,8,主货架,2026-06-03 09:00,2026-06-03 09:00
rack-1-b2,room-1,B2,B2 大货架,39,16,25,27,8,主货架,2026-06-03 09:00,2026-06-03 09:00
rack-1-b3,room-1,B3,B3 大货架,70,16,22,27,8,主货架,2026-06-03 09:00,2026-06-03 09:00
rack-2-a1,room-2,A1,A1 大货架,8,18,26,28,8,仪表区,2026-06-03 09:00,2026-06-03 09:00
rack-2-a2,room-2,A2,A2 大货架,40,18,26,28,8,仪表区,2026-06-03 09:00,2026-06-03 09:00
rack-2-b1,room-2,B1,B1 大货架,70,18,22,28,8,仪表区,2026-06-03 09:00,2026-06-03 09:00
rack-3-c1,room-3,C1,C1 大货架,10,20,26,30,8,屏幕区,2026-06-03 09:00,2026-06-03 09:00
rack-3-c2,room-3,C2,C2 大货架,44,20,26,30,8,屏幕区,2026-06-03 09:00,2026-06-03 09:00
rack-4-d1,room-4,D1,D1 大货架,12,18,28,30,8,周转区,2026-06-03 09:00,2026-06-03 09:00
rack-4-d2,room-4,D2,D2 大货架,52,18,28,30,8,周转区,2026-06-03 09:00,2026-06-03 09:00
